name,http_last_check,http_status,https_last_check,https_status
web106.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.206', 443)"
web110.aphp.fr,2022-12-13,Timeout,2022-12-13,Timeout
web111.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.41', 443)"
web112.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.33', 443)"
web118.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.47', 443)"
web120.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.49', 443)"
web122.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.182', 443)"
web134.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.195', 443)"
web143.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.133', 443)"
web21.aphp.fr,2022-12-13,"Connect call failed ('164.2.250.38', 80)",2022-12-13,"Connect call failed ('164.2.250.38', 443)"
web61.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.141', 443)"
web90.aphp.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('164.2.250.180', 443)"
webbmr-raisin.aphp.fr,2022-12-13,ServerDisconnectedError: Server disconnected,2022-12-13,200 OK
wfr.aphp.fr,2022-12-13,502 Proxy Error,2022-12-13,502 Proxy Error
wsso-gaiap.aphp.fr,2022-12-13,403 Forbidden,2022-12-13,403 Forbidden
www.aphp.fr,2022-12-13,302 Moved Temporarily https://www.aphp.fr:443/,2022-12-13,200 OK
soutenir.fondationaphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
fondationrechercheaphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
eye.news-aphp.fr,2022-12-13,200 OK,2022-12-13,200 OK
omedit-idf.fr,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
www.omedit-idf.fr,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
urologie-mondor.fr,2022-12-13,301 Moved Permanently http://www.urologie-mondor.fr/,2022-12-13,ClientConnectorError: Cannot connect to host urologie-mondor.fr:443 ssl:default [None]
www.urologie-mondor.fr,2022-12-13,200 OK,2022-12-13,ClientConnectorError: Cannot connect to host www.urologie-mondor.fr:443 ssl:default [None]
